strain,phase,window_mid,norm_position,density_drug,density_nd,log2FC,t_test_p,t_test_p_adj_BH,mwu_p,category
VU,stat,154501,-0.662428,418,333,0.3279807650096205,0.5766720336457648,0.9412563256715453,1,Not significant
VU,stat,155501,-0.66195,422,321,0.3946697015848819,0.6093882377708695,0.9412563256715453,0.6666666666666667,Not significant
VU,stat,156501,-0.661472,374.5,303,0.3056479249858,0.669065755689076,0.9412563256715453,1,Not significant
VU,stat,157501,-0.660994,401,324,0.3076084235702955,0.5505334914403217,0.9412563256715453,0.6666666666666667,Not significant
VU,stat,158501,-0.660515,403.5,354,0.18881931319478298,0.6881227806849466,0.9412563256715453,1,Not significant
VU,stat,159501,-0.660037,358.5,273.5,0.3904322859093481,0.574932257954877,0.9412563256715453,0.6666666666666667,Not significant
VU,stat,160501,-0.659559,397,315,0.3337871787556789,0.6832706813183567,0.9412563256715453,1,Not significant
VU,stat,161501,-0.65908,423,325,0.3802179452041329,0.5837575910644599,0.9412563256715453,1,Not significant
VU,stat,162501,-0.658602,521,361.5,0.5272877253273904,0.48434536570476944,0.9412563256715453,0.6666666666666667,Not significant
VU,stat,163501,-0.658124,518,386,0.4243512504184736,0.5404100883374687,0.9412563256715453,1,Not significant
VU,stat,164501,-0.657646,422.5,313,0.4327886842369283,0.587004225347566,0.9412563256715453,1,Not significant
VU,stat,165501,-0.657167,305,225.5,0.43568180919486765,0.5437845727678848,0.9412563256715453,0.6666666666666667,Not significant
VU,stat,166501,-0.656689,374,296.5,0.3350061653416331,0.5756266411518444,0.9412563256715453,0.6666666666666667,Not significant
VU,stat,167501,-0.656211,407.5,335,0.2826389637733052,0.6895501456334991,0.9412563256715453,1,Not significant
VU,stat,168501,-0.655732,392.5,322,0.28563196566437243,0.5904786664691966,0.9412563256715453,0.6666666666666667,Not significant
VU,stat,169501,-0.655254,376,281.5,0.41759773959740776,0.5107265617854784,0.9412563256715453,0.6666666666666667,Not significant
VU,stat,170501,-0.654776,322.5,271.5,0.24834696250625488,0.6669278564857717,0.9412563256715453,1,Not significant
VU,stat,171501,-0.654298,432.5,321,0.4301268354017839,0.44178590445784816,0.9412563256715453,0.6666666666666667,Not significant
VU,stat,172501,-0.653819,377.5,279.5,0.43362836136925126,0.49224977197454667,0.9412563256715453,0.6666666666666667,Not significant
VU,stat,173501,-0.653341,403,312,0.3692338096657191,0.5827000273657743,0.9412563256715453,1,Not significant
VU,stat,174501,-0.652863,401,296,0.4380050608259706,0.564799497092682,0.9412563256715453,0.6666666666666667,Not significant
VU,stat,175501,-0.652384,376,307,0.2924940063074581,0.6167581252356082,0.9412563256715453,0.6666666666666667,Not significant
