strain,phase,window_mid,norm_position,density_drug,density_nd,log2FC,t_test_p,t_test_p_adj_BH,mwu_p,category
AB30,stat,3199501,-0.008989,293,291,0.009881511513963978,0.9398183677941567,0.96338718003012,1,Not significant
AB30,stat,3200501,-0.008679,346,301.5,0.19861403573663997,0.4370117645094306,0.5913234428298071,0.6666666666666667,Not significant
AB30,stat,3201501,-0.008369,445,366.5,0.2799921377199482,0.246295974301686,0.431465946897133,0.3333333333333333,Not significant
AB30,stat,3202501,-0.00806,444,469,-0.0790282461652706,0.3592755797510806,0.5241675843770836,0.3333333333333333,Not significant
AB30,stat,3203501,-0.00775,396.5,411,-0.05181752797770448,0.7005336475870327,0.7947939341995288,0.6666666666666666,Not significant
AB30,stat,3204501,-0.0074400000000000004,446.5,418.5,0.09343255257087917,0.08427780848588658,0.3347264257784854,0.3333333333333333,Not significant
AB30,stat,3205501,-0.00713,320.5,333,-0.0551978204525211,0.6874405413548548,0.7873641044233145,1,Not significant
AB30,stat,3206501,-0.00682,352.5,347,0.022687594707894915,0.8938173237024638,0.9323235333156386,0.6666666666666667,Not significant
AB30,stat,3207501,-0.00651,449.5,437,0.04068783601384891,0.7763579650968795,0.8502233554913972,1,Not significant
AB30,stat,3208501,-0.0062,345,354.5,-0.03918926557398465,0.7764614769346908,0.8502233554913972,1,Not significant
AB30,stat,3209501,-0.00589,354.5,415.5,-0.22906284953082842,0.23743802650117699,0.42278406197867746,0.3333333333333333,Not significant
AB30,stat,3210501,-0.00558,438,481,-0.13510602416886844,0.3320429613267714,0.4998520994755913,0.3333333333333333,Not significant
AB30,stat,3211501,-0.00527,326.5,324,0.011089178661805935,0.9526219958196742,0.9714442254337529,1,Not significant
AB30,stat,3212501,-0.00496,329,276.5,0.25080810350053434,0.3506951712086145,0.5175894855919598,0.6666666666666667,Not significant
AB30,stat,3213501,-0.00465,382,321,0.25099934091344545,0.3144989590818925,0.4850041917459084,0.3333333333333333,Not significant
AB30,stat,3214501,-0.00434,392.5,298.5,0.39496172251418443,0.09665166963965903,0.3384883484573453,0.3333333333333333,Not significant
AB30,stat,3215501,-0.00403,368,307,0.2614671106868336,0.2892115948120222,0.46415358220685454,0.3333333333333333,Not significant
AB30,stat,3216501,-0.0037200000000000002,344.5,278,0.309419099980784,0.3787076925881189,0.5420472720201147,0.3333333333333333,Not significant
AB30,stat,3217501,-0.00341,323.5,289.5,0.16020236400327081,0.4332256226397694,0.5878521754917847,0.6666666666666667,Not significant
AB30,stat,3218501,-0.0031,279.5,257,0.12107992364931187,0.5843973350537224,0.7098593189806146,0.6666666666666667,Not significant
AB30,stat,3219501,-0.00279,303,284,0.09342686396826888,0.5452198075634325,0.6782384173306304,1,Not significant
AB30,stat,3220501,-0.00248,336.5,324,0.05461269172569244,0.11615693444182462,0.3479488797578737,0.3333333333333333,Not significant
AB30,stat,3221501,-0.00217,332,276,0.2665149745687557,0.21330565288796333,0.40635898884238814,0.3333333333333333,Not significant
AB30,stat,3222501,-0.0018600000000000001,391,297.5,0.3942789391120464,0.09676674290231907,0.3384883484573453,0.3333333333333333,Not significant
AB30,stat,3223501,-0.00155,286.5,286.5,0,1,1,1,Not significant
AB30,stat,3224501,-0.00124,393.5,298.5,0.3986327042426813,0.20159701993359908,0.39642535589483596,0.3333333333333333,Not significant
AB30,stat,3225501,-0.00093000000000000005,363.5,276,0.39728709714142524,0.23036385944860513,0.41727953185505556,0.3333333333333333,Not significant
AB30,stat,3226501,-6.2e-4,328,229.5,0.5152016612042758,0.09818887524127788,0.3390539391147853,0.3333333333333333,Not significant
AB30,stat,3227501,-3.1e-4,355,312.5,0.1839628348425949,0.2470704186019538,0.4319496547885711,0.3333333333333333,Not significant
AB30,stat,3228501,0,394.5,393,0.005495987754852001,0.962993725572689,0.9769697581067497,0.6666666666666667,Not significant
AB30,stat,3229501,9.01e-4,361.5,305.5,0.24282326713238825,0.04850287491140965,0.3319718438197075,0.3333333333333333,Not significant
AB30,stat,3230501,0.001802,311,283.5,0.13356584518837378,0.14561896742910535,0.3620082246146302,0.3333333333333333,Not significant
AB30,stat,3231501,0.002703,322,291.5,0.14356480491412046,0.14206426222927263,0.36095806257491275,0.3333333333333333,Not significant
AB30,stat,3232501,0.003604,337.5,279.5,0.27203921909500317,0.2460341833167309,0.431465946897133,0.3333333333333333,Not significant
AB30,stat,3233501,0.004505,356.5,299,0.253756592245783,0.02330760352766808,0.3319718438197075,0.3333333333333333,Not significant
AB30,stat,3234501,0.005406,325.5,300.5,0.11529255245444997,0.48058330765324375,0.6262321272907873,0.6666666666666667,Not significant
AB30,stat,3235501,0.006307,409.5,338.5,0.2747076180660119,0.2985496080464676,0.47210970226585375,0.3333333333333333,Not significant
AB30,stat,3236501,0.007209,362.5,311.5,0.21874883187829483,0.39884957902710483,0.5605151839494535,0.6666666666666667,Not significant
AB30,stat,3237501,0.00811,331.5,296.5,0.160976765566584,0.35075226561688644,0.5175894855919598,0.6666666666666667,Not significant
AB30,stat,3238501,0.009011,286,274,0.06183925381786263,0.5354964283696682,0.6721232321326793,0.6666666666666667,Not significant
AB30,stat,3239501,0.009912,373,303.5,0.2974791139995558,0.06136766571787987,0.3331076626321496,0.3333333333333333,Not significant
AB30,stat,3240501,0.010813,357,325,0.13548435611328274,0.15200169599491198,0.36618974454805364,0.3333333333333333,Not significant
AB30,stat,3241501,0.011714,359.5,315,0.19063994205201892,0.08840086314244826,0.3364113618588578,0.3333333333333333,Not significant
AB30,stat,3242501,0.012615,312,254,0.29671753209008256,0.12920872279627546,0.3533805582933032,0.3333333333333333,Not significant
AB30,stat,3243501,0.013516,353.5,316,0.16178565663229588,0.2304954313015697,0.41727953185505556,0.3333333333333333,Not significant
AB30,stat,3244501,0.014417,324,319.5,0.020177881937630274,0.8662537910573777,0.9127993995727388,1,Not significant
AB30,stat,3245501,0.015318,269.5,289,-0.10078421974817339,0.5910528393178094,0.713544012702893,0.6666666666666666,Not significant
AB30,stat,3246501,0.016219,348,351,-0.012383724455832358,0.9488938715702369,0.9690165031539602,1,Not significant
AB30,stat,3247501,0.01712,317.5,284.5,0.15832793935294634,0.2666725442727497,0.4477701671201023,0.3333333333333333,Not significant
AB30,stat,3248501,0.018021,341,291,0.22875258611588867,0.38616423785354403,0.5485531979210947,0.6666666666666667,Not significant
AB30,stat,3249501,0.018922,430.5,422.5,0.027061896227297388,0.6737682493461488,0.7780623482427472,0.6666666666666667,Not significant
AB30,stat,3250501,0.019824,350,271.5,0.3664027240279673,0.12384643880150982,0.35120091819068305,0.3333333333333333,Not significant
AB30,stat,3251501,0.020725,384,375.5,0.032293403206884425,0.8163825793647218,0.8784017127524092,1,Not significant
AB30,stat,3252501,0.021626,349.5,369.5,-0.08028190877071448,0.4300521311594886,0.5853787488835501,0.6666666666666666,Not significant
AB30,stat,3253501,0.022527,408,382.5,0.09310940439148145,0.7076443917310089,0.7995127199588614,0.6666666666666667,Not significant
AB30,stat,3254501,0.023428,341,254.5,0.42210608294847723,0.17051764914248718,0.3753788063305839,0.3333333333333333,Not significant
AB30,stat,3255501,0.024329,309,235,0.39494608133937487,0.06605450716371167,0.3333260269052592,0.3333333333333333,Not significant
AB30,stat,3256501,0.02523,320.5,231,0.4724315052026835,0.050121521490186415,0.3319718438197075,0.3333333333333333,Not significant
AB30,stat,3257501,0.026131,360,288,0.32192809488736235,0.19454582451339997,0.39001208957787575,0.3333333333333333,Not significant
AB30,stat,3258501,0.027032,327.5,347,-0.08344075615344826,0.3296851132805578,0.49768557330475005,0.3333333333333333,Not significant
AB30,stat,3259501,0.027933,375,388.5,-0.051024003024466906,0.5265472631842032,0.6660617815823435,0.6666666666666666,Not significant
AB30,stat,3260501,0.028834,422.5,403,0.06817150264157924,0.21577373879490352,0.40926187480836407,0.3333333333333333,Not significant
AB30,stat,3261501,0.029735,396.5,400,-0.01267913407074631,0.9468058948250309,0.967491097149797,1,Not significant
AB30,stat,3262501,0.030636,353.5,316,0.16178565663229588,0.35629178646066384,0.5213263344093575,0.6666666666666667,Not significant
AB30,stat,3263501,0.031537,358,379.5,-0.08414029815120984,0.5596598365773133,0.6903687084813522,0.6666666666666666,Not significant
AB30,stat,3264501,0.032438,393,388,0.018472660071478717,0.8434129379247198,0.8961391696410236,1,Not significant
AB30,stat,3265501,0.03334,337.5,301.5,0.16272950003810832,0.3852388760362528,0.5481443148688655,0.6666666666666667,Not significant
AB30,stat,3266501,0.034241,344.5,349,-0.018723053505360854,0.8572247433892167,0.9071160780332708,1,Not significant
AB30,stat,3267501,0.035142,406,386,0.07287887991709575,0.15775809687741585,0.36981040154004363,0.3333333333333333,Not significant
AB30,stat,3268501,0.036043,408,374.5,0.12360343351274448,0.21375294925455113,0.40682273471766145,0.3333333333333333,Not significant
AB30,stat,3269501,0.036944,385,278,0.4697735628587563,0.1273391294655423,0.3523074284652006,0.3333333333333333,Not significant
AB30,stat,3270501,0.037845,326,201,0.6976764630521489,0.017818983180825188,0.3319718438197075,0.3333333333333333,Not significant
AB30,stat,3271501,0.038746,288.5,208.5,0.4685239352008189,0.18740552378744946,0.38728063332826906,0.3333333333333333,Not significant
AB30,stat,3272501,0.039647,307.5,222.5,0.46678107437284216,0.10556749185116145,0.34083133910272206,0.3333333333333333,Not significant
AB30,stat,3273501,0.040548,371,312,0.24987315775855493,0.22187197706419526,0.41341063998117894,0.3333333333333333,Not significant
AB30,stat,3274501,0.041449,367,296,0.31018288721426307,0.055320442755095615,0.3319718438197075,0.3333333333333333,Not significant
AB30,stat,3275501,0.04235,375.5,303,0.3094951140413209,0.012661835648782692,0.3319718438197075,0.3333333333333333,Not significant
AB30,stat,3276501,0.043251,339.5,344.5,-0.021092408459559536,0.8239163893541618,0.8834373160467436,1,Not significant
AB30,stat,3277501,0.044152,291.5,283.5,0.0401471482582676,0.8102093964586492,0.8737117502492624,0.6666666666666667,Not significant
AB30,stat,3278501,0.045053,314,326,-0.05410740533945056,0.7542348124269093,0.8325786313074441,1,Not significant
AB30,stat,3279501,0.045955,327,323,0.017756470804157525,0.7834369053488374,0.8548377512038925,1,Not significant
AB30,stat,3280501,0.046856,348.5,330,0.07869263162260742,0.6926362648669968,0.7898260499182578,1,Not significant
AB30,stat,3281501,0.047757,383,351,0.12587336162039645,0.45556216427033935,0.6047186584832008,0.6666666666666667,Not significant
AB30,stat,3282501,0.048658,370,380,-0.03847414781463567,0.8512211321566625,0.9024443216161877,1,Not significant
AB30,stat,3283501,0.049559,337.5,376.5,-0.15776236273373495,0.20944581057821182,0.4023162335985413,0.3333333333333333,Not significant
AB30,stat,3284501,0.05046,319.5,321.5,-0.009002806380952952,0.9655705401867798,0.9780905593951259,1,Not significant
AB30,stat,3285501,0.051361,341,370.5,-0.11970180328166133,0.5790223696564342,0.7061009989001085,1,Not significant
AB30,stat,3286501,0.052262,330.5,301,0.13488678474798954,0.15357421920023834,0.36793292759194746,0.3333333333333333,Not significant
AB30,stat,3287501,0.053163,370.5,349,0.08624650609618159,0.4585638595825846,0.6073945055498521,0.41421617824252505,Not significant
AB30,stat,3288501,0.054064,362,314.5,0.20292968020391616,0.14718001634446434,0.3623586571098414,0.3333333333333333,Not significant
AB30,stat,3289501,0.054965,305,289.5,0.07524589446101208,0.22263073840365255,0.41362216827573833,0.3333333333333333,Not significant
AB30,stat,3290501,0.055866,345.5,343.5,0.008375611570158321,0.8928425263732727,0.9315309362787105,1,Not significant
AB30,stat,3291501,0.056767,296.5,282,0.07233694214721001,0.49975777265793264,0.643670189212327,0.6666666666666667,Not significant
AB30,stat,3292501,0.057668,302.5,278,0.1218502594384493,0.38368701526135834,0.5470064224153708,0.6666666666666667,Not significant
AB30,stat,3293501,0.058569,359,336.5,0.09337733921273424,0.36852372745822737,0.533634879387511,0.6666666666666667,Not significant
AB30,stat,3294501,0.059471,366,368.5,-0.009820970811027186,0.9594202512776459,0.9752040767531821,1,Not significant
AB30,stat,3295501,0.060372,327.5,280.5,0.2234941358160197,0.36816346886470275,0.5332956129878414,0.3333333333333333,Not significant
AB30,stat,3296501,0.061273,349,229,0.6078794381127082,0.06992194006008631,0.3347264257784854,0.3333333333333333,Not significant
AB30,stat,3297501,0.062174,293,236,0.31211380506040665,0.04764367674382869,0.3319718438197075,0.3333333333333333,Not significant
AB30,stat,3298501,0.063075,323,241,0.42250101846396315,0.09369365347861296,0.3364113618588578,0.3333333333333333,Not significant
AB30,stat,3299501,0.063976,314,193.5,0.6984309927472168,0.17854321163222392,0.38250433970047376,0.3333333333333333,Not significant
